Time,BG,CHO,INS
06:01:00,149.01999999999532,0.0,0.0139355888999834
07:17:00,149.01999999932457,0.0,0.0139355888999834
07:51:00,149.0199999992171,0.0,0.0139355888999834
09:04:00,149.01999999914398,0.0,0.0139355888999834
10:42:00,149.0199999991573,0.0,0.0139355888999834
11:01:00,149.0199999991635,0.0,0.0139355888999834
11:05:00,149.0200019595185,24.8,2.0806022555666503
12:43:00,155.8335658483153,0.0,0.0139355888999834
13:03:00,153.3689744665728,0.0,0.0139355888999834
14:05:00,141.15189669231663,3.3,0.2889355888999834
14:59:00,133.5072386201463,0.0,0.0139355888999834
16:08:00,129.31959938201268,0.0,0.0139355888999834
16:30:00,128.70366128556216,14.4,1.2139355888999834
16:33:00,128.64732313550064,0.0,0.0139355888999834
16:43:00,128.5952213970091,0.0,0.0139355888999834
17:10:00,130.40344602899543,2.7,0.2389355888999834
17:58:00,135.02261066829908,0.0,0.0139355888999834
18:16:00,135.44060409829635,0.0,0.0139355888999834
19:00:00,133.31612861823817,47.2,3.947268922233317
20:26:00,144.62318780461618,0.0,0.0139355888999834
20:44:00,143.28013188373876,0.0,0.0139355888999834
23:32:00,104.54250501797075,0.0,0.0139355888999834
00:18:00,103.4430066237718,0.0,0.0139355888999834
00:55:00,105.16173115517223,0.0,0.0139355888999834
01:17:00,106.94500039819344,0.0,0.0139355888999834
01:30:00,108.19166979848752,51.0,4.263935588899983
01:48:00,110.99127701341962,0.0,0.0139355888999834
03:47:00,134.04406023915612,0.0,0.0139355888999834
05:17:00,111.34146261628204,0.0,0.0139355888999834
05:36:00,108.31916536667488,0.0,0.0139355888999834
05:48:00,106.87088454531924,0.0,0.0139355888999834
06:14:00,104.8947628784276,0.0,0.0139355888999834
07:56:00,108.54532499707894,0.0,0.0139355888999834
08:46:00,113.91847731926832,0.0,0.0139355888999834
10:30:00,126.04544968502272,0.0,0.0139355888999834
11:00:00,129.16597582630277,0.0,0.0139355888999834
12:05:00,134.9378085276177,16.1,1.3556022555666505
13:05:00,143.14267052547072,55.1,4.60560225556665
13:13:00,144.23565933536216,0.0,0.0139355888999834
14:01:00,158.4750428611453,0.0,0.0139355888999834
14:08:00,160.19948039966727,0.0,0.0139355888999834
15:34:00,141.05878041922688,0.0,0.0139355888999834
17:11:00,106.41822918803,0.0,0.0139355888999834
17:23:00,104.17465598802347,0.0,0.0139355888999834
19:10:00,100.77305545110522,40.9,3.4222689222333167
20:20:00,122.19014059624732,0.0,0.0139355888999834
20:39:00,126.75141609552472,0.0,0.0139355888999834
21:01:00,128.16654692277496,0.0,0.0139355888999834
21:30:00,125.36419838931276,0.0,0.0139355888999834
22:14:00,117.29292502963445,0.0,0.0139355888999834
23:09:00,109.37727738874284,0.0,0.0139355888999834
23:25:00,108.12725554962604,0.0,0.0139355888999834
23:46:00,107.22616492333384,0.0,0.0139355888999834
00:35:00,107.9387694374454,53.0,4.43060225556665
00:55:00,110.3916128132855,41.8,3.4972689222333164
01:57:00,147.50476363442846,0.0,0.0139355888999834
02:10:00,152.1076346859208,19.6,2.2406787344749755
02:13:00,152.7120625079423,0.0,0.0139355888999834
02:54:00,149.48174079642828,0.0,0.0139355888999834
03:24:00,138.17331138877591,0.0,0.0139355888999834
04:48:00,95.02858843482454,0.0,0.0139355888999834
04:53:00,92.90601443187695,0.0,0.0139355888999834
06:32:00,71.21539947358677,0.0,0.0139355888999834
10:09:00,101.72953072600144,0.0,0.0139355888999834
11:10:00,113.23709840319464,5.3,0.45560225556665
11:26:00,116.03776855631644,0.0,0.0139355888999834
14:18:00,134.8059760905633,0.0,0.0139355888999834
14:20:00,134.87271037442295,47.6,3.98060225556665
16:01:00,153.0627872893103,0.0,0.0139355888999834
16:45:00,142.58348269608086,29.2,2.4472689222333166
17:27:00,133.57546560426908,0.0,0.0139355888999834
18:12:00,129.5608920935024,0.0,0.0139355888999834
18:55:00,120.6404283732682,79.8,6.663935588899983
19:30:00,120.85332017640329,0.0,0.0139355888999834
20:09:00,135.9233009086587,0.0,0.0139355888999834
21:05:00,128.43892415811655,0.0,0.0139355888999834
22:55:00,83.53218328007404,26.1,2.188935588899984
23:35:00,80.56049218021698,59.5,4.972268922233316
